source;target
Cliente792;Producto2
Cliente153;Producto6
Cliente647;Producto2
Cliente36;Producto19
Cliente467;Producto16
Cliente483;Producto16
Cliente89;Producto12
Cliente479;Producto12
Cliente15;Producto11
Cliente245;Producto15
Cliente384;Producto9
Cliente272;Producto18
Cliente418;Producto8
Cliente411;Producto13
Cliente630;Producto1
Cliente594;Producto12
Cliente480;Producto19
Cliente591;Producto15
Cliente633;Producto10
Cliente143;Producto4
Cliente682;Producto14
Cliente739;Producto20
Cliente308;Producto11
Cliente49;Producto16
Cliente860;Producto1
Cliente734;Producto19
Cliente74;Producto2
Cliente374;Producto8
Cliente12;Producto14
Cliente611;Producto19
Cliente944;Producto15
Cliente317;Producto7
Cliente609;Producto8
Cliente787;Producto17
Cliente979;Producto11
Cliente111;Producto18
Cliente976;Producto19
Cliente175;Producto20
Cliente675;Producto9
Cliente356;Producto17
Cliente321;Producto7
Cliente855;Producto7
Cliente854;Producto1
Cliente680;Producto12
Cliente472;Producto19
Cliente373;Producto18
Cliente724;Producto19
Cliente282;Producto13
Cliente629;Producto12
Cliente190;Producto9
Cliente543;Producto14
Cliente285;Producto20
Cliente538;Producto1
Cliente153;Producto19
Cliente917;Producto15
Cliente529;Producto9
Cliente770;Producto4
Cliente803;Producto3
Cliente976;Producto10
Cliente154;Producto17
Cliente121;Producto5
Cliente559;Producto1
Cliente482;Producto20
Cliente276;Producto2
Cliente990;Producto19
Cliente73;Producto19
Cliente971;Producto12
Cliente73;Producto14
Cliente915;Producto5
Cliente608;Producto3
Cliente165;Producto2
Cliente896;Producto4
Cliente740;Producto2
Cliente555;Producto4
Cliente808;Producto19
Cliente422;Producto13
Cliente427;Producto9
Cliente341;Producto7
Cliente547;Producto2
Cliente232;Producto13
Cliente441;Producto7
Cliente260;Producto16
Cliente436;Producto9
Cliente192;Producto5
Cliente247;Producto20
Cliente13;Producto15
Cliente243;Producto1
Cliente535;Producto3
Cliente737;Producto9
Cliente508;Producto2
Cliente58;Producto9
Cliente494;Producto7
Cliente341;Producto12
Cliente519;Producto9
Cliente171;Producto8
Cliente797;Producto14
Cliente197;Producto8
Cliente324;Producto2
Cliente792;Producto18
Cliente682;Producto6
Cliente662;Producto2
Cliente520;Producto16
Cliente682;Producto3
Cliente432;Producto15
Cliente79;Producto9
Cliente144;Producto10
Cliente981;Producto19
Cliente720;Producto11
Cliente942;Producto12
Cliente860;Producto2
Cliente907;Producto14
Cliente603;Producto1
Cliente756;Producto14
Cliente369;Producto16
Cliente999;Producto10
Cliente851;Producto11
Cliente828;Producto17
Cliente238;Producto20
Cliente763;Producto8
Cliente761;Producto12
Cliente602;Producto18
Cliente842;Producto2
Cliente736;Producto19
Cliente546;Producto19
Cliente24;Producto20
Cliente596;Producto4
Cliente274;Producto9
Cliente637;Producto6
Cliente10;Producto6
Cliente941;Producto6
Cliente400;Producto2
Cliente526;Producto13
Cliente694;Producto3
Cliente317;Producto3
Cliente298;Producto10
Cliente8;Producto19
Cliente195;Producto11
Cliente614;Producto11
Cliente543;Producto5
Cliente654;Producto7
Cliente147;Producto6
Cliente837;Producto6
Cliente672;Producto12
Cliente176;Producto10
Cliente545;Producto17
Cliente894;Producto18
Cliente713;Producto10
Cliente398;Producto14
Cliente873;Producto4
Cliente820;Producto6
Cliente131;Producto7
Cliente95;Producto19
Cliente207;Producto19
Cliente137;Producto10
Cliente248;Producto16
Cliente318;Producto14
Cliente622;Producto1
Cliente219;Producto7
Cliente960;Producto16
Cliente99;Producto5
Cliente552;Producto17
Cliente184;Producto20
Cliente477;Producto7
Cliente234;Producto14
Cliente88;Producto9
Cliente484;Producto16
Cliente269;Producto1
Cliente617;Producto6
Cliente182;Producto16
Cliente444;Producto3
Cliente920;Producto11
Cliente441;Producto18
Cliente123;Producto19
Cliente659;Producto4
Cliente589;Producto2
Cliente741;Producto17
Cliente868;Producto19
Cliente454;Producto11
Cliente825;Producto19
Cliente856;Producto5
Cliente366;Producto5
Cliente217;Producto13
Cliente820;Producto19
Cliente195;Producto19
Cliente185;Producto17
Cliente811;Producto1
Cliente438;Producto8
Cliente683;Producto14
Cliente566;Producto2
Cliente640;Producto6
Cliente272;Producto4
Cliente645;Producto18
Cliente353;Producto8
Cliente728;Producto16
Cliente92;Producto7
Cliente807;Producto6
Cliente994;Producto8
Cliente329;Producto18
Cliente131;Producto7
Cliente421;Producto7
Cliente382;Producto13
Cliente152;Producto8
Cliente979;Producto17
Cliente809;Producto10
Cliente434;Producto3
Cliente721;Producto18
Cliente292;Producto15
Cliente659;Producto2
Cliente914;Producto12
Cliente609;Producto12
Cliente827;Producto15
Cliente520;Producto12
Cliente721;Producto7
Cliente449;Producto4
Cliente963;Producto9
Cliente80;Producto6
Cliente276;Producto7
Cliente688;Producto6
Cliente778;Producto15
Cliente619;Producto2
Cliente948;Producto1
Cliente308;Producto16
Cliente590;Producto20
Cliente845;Producto5
Cliente1000;Producto20
Cliente432;Producto15
Cliente800;Producto1
Cliente107;Producto17
Cliente545;Producto16
Cliente772;Producto6
Cliente183;Producto9
Cliente899;Producto2
Cliente961;Producto13
Cliente249;Producto10
Cliente904;Producto12
Cliente534;Producto7
Cliente941;Producto20
Cliente100;Producto14
Cliente81;Producto8
Cliente325;Producto10
Cliente700;Producto11
Cliente135;Producto13
Cliente168;Producto8
Cliente331;Producto4
Cliente453;Producto4
Cliente995;Producto15
Cliente611;Producto19
Cliente226;Producto13
Cliente461;Producto9
Cliente389;Producto3
Cliente139;Producto3
Cliente590;Producto18
Cliente768;Producto1
Cliente235;Producto10
Cliente610;Producto16
Cliente732;Producto1
Cliente463;Producto3
Cliente723;Producto6
Cliente543;Producto9
Cliente18;Producto2
Cliente50;Producto10
Cliente704;Producto9
Cliente842;Producto14
Cliente534;Producto20
Cliente678;Producto1
Cliente588;Producto7
Cliente606;Producto6
Cliente375;Producto4
Cliente6;Producto18
Cliente722;Producto12
Cliente197;Producto11
Cliente157;Producto17
Cliente979;Producto4
Cliente172;Producto6
Cliente468;Producto17
Cliente241;Producto8
Cliente90;Producto5
Cliente436;Producto14
Cliente382;Producto11
Cliente675;Producto2
Cliente204;Producto10
Cliente897;Producto6
Cliente803;Producto7
Cliente473;Producto10
Cliente877;Producto9
Cliente589;Producto7
Cliente748;Producto5
Cliente519;Producto7
Cliente161;Producto1
Cliente292;Producto20
Cliente863;Producto11
Cliente666;Producto9
Cliente540;Producto2
Cliente879;Producto4
Cliente664;Producto11
Cliente412;Producto13
Cliente539;Producto8
Cliente6;Producto11
Cliente675;Producto9
Cliente41;Producto2
Cliente582;Producto8
Cliente969;Producto5
Cliente733;Producto18
Cliente897;Producto7
Cliente10;Producto20
Cliente265;Producto15
Cliente597;Producto1
Cliente50;Producto18
Cliente484;Producto17
Cliente137;Producto11
Cliente568;Producto12
Cliente391;Producto6
Cliente702;Producto5
Cliente285;Producto17
Cliente752;Producto15
Cliente326;Producto20
Cliente346;Producto16
Cliente967;Producto3
Cliente598;Producto9
Cliente130;Producto19
Cliente564;Producto3
Cliente792;Producto5
Cliente303;Producto2
Cliente462;Producto5
Cliente637;Producto3
Cliente890;Producto1
Cliente868;Producto4
Cliente607;Producto11
Cliente456;Producto11
Cliente129;Producto5
Cliente61;Producto6
Cliente776;Producto10
Cliente536;Producto15
Cliente320;Producto4
Cliente376;Producto14
Cliente759;Producto12
Cliente677;Producto5
Cliente915;Producto7
Cliente51;Producto19
Cliente251;Producto2
Cliente732;Producto3
Cliente201;Producto11
Cliente157;Producto11
Cliente856;Producto17
Cliente962;Producto16
Cliente227;Producto11
Cliente251;Producto18
Cliente608;Producto20
Cliente287;Producto13
Cliente163;Producto13
Cliente14;Producto10
Cliente375;Producto13
Cliente963;Producto10
Cliente782;Producto9
Cliente172;Producto3
Cliente334;Producto1
Cliente537;Producto16
Cliente721;Producto11
Cliente509;Producto7
Cliente45;Producto6
Cliente902;Producto6
Cliente969;Producto17
Cliente861;Producto9
Cliente757;Producto17
Cliente56;Producto13
Cliente697;Producto5
Cliente613;Producto11
Cliente105;Producto9
Cliente78;Producto5
Cliente505;Producto18
Cliente855;Producto6
Cliente211;Producto10
Cliente499;Producto16
Cliente481;Producto9
Cliente165;Producto4
Cliente831;Producto5
Cliente379;Producto1
Cliente587;Producto14
Cliente714;Producto8
Cliente625;Producto13
Cliente450;Producto18
Cliente158;Producto8
Cliente617;Producto1
Cliente126;Producto6
Cliente824;Producto4
Cliente323;Producto4
Cliente322;Producto10
Cliente551;Producto2
Cliente355;Producto18
Cliente946;Producto2
Cliente172;Producto12
Cliente716;Producto11
Cliente425;Producto14
Cliente873;Producto2
Cliente820;Producto9
Cliente363;Producto15
Cliente31;Producto5
Cliente493;Producto2
Cliente885;Producto17
Cliente795;Producto13
Cliente996;Producto8
Cliente826;Producto7
Cliente218;Producto17
Cliente767;Producto15
Cliente336;Producto19
Cliente747;Producto18
Cliente923;Producto1
Cliente218;Producto17
Cliente268;Producto18
Cliente575;Producto14
Cliente55;Producto4
Cliente688;Producto18
Cliente246;Producto17
Cliente391;Producto2
Cliente524;Producto17
Cliente221;Producto7
Cliente32;Producto11
Cliente809;Producto6
Cliente663;Producto10
Cliente41;Producto4
Cliente115;Producto11
Cliente203;Producto18
Cliente889;Producto15
Cliente64;Producto16
Cliente384;Producto7
Cliente212;Producto18
Cliente490;Producto3
Cliente20;Producto9
Cliente456;Producto10
Cliente487;Producto6
Cliente78;Producto7
Cliente94;Producto12
Cliente246;Producto15
Cliente989;Producto6
Cliente911;Producto6
Cliente713;Producto19
Cliente319;Producto20
Cliente886;Producto6
Cliente562;Producto5
Cliente789;Producto20
Cliente316;Producto3
Cliente638;Producto4
Cliente961;Producto14
Cliente535;Producto15
Cliente237;Producto12
Cliente657;Producto8
Cliente118;Producto17
Cliente364;Producto1
Cliente190;Producto5
Cliente861;Producto14
Cliente25;Producto5
Cliente387;Producto11
Cliente952;Producto12
Cliente995;Producto17
Cliente54;Producto11
Cliente876;Producto14
Cliente64;Producto12
Cliente877;Producto3
Cliente755;Producto14
Cliente340;Producto18
Cliente191;Producto15
Cliente456;Producto5
Cliente617;Producto7
Cliente233;Producto15
Cliente953;Producto17
Cliente804;Producto7
Cliente315;Producto3
Cliente591;Producto17
Cliente526;Producto6
Cliente530;Producto3
Cliente602;Producto4
Cliente129;Producto3
Cliente115;Producto3
Cliente712;Producto17
Cliente592;Producto10
Cliente720;Producto17
Cliente161;Producto6
Cliente361;Producto10
Cliente1;Producto16
Cliente511;Producto14
Cliente432;Producto15
Cliente591;Producto6
Cliente452;Producto20
Cliente749;Producto5
Cliente990;Producto8
Cliente113;Producto1
Cliente798;Producto18
Cliente200;Producto16
Cliente937;Producto2
Cliente981;Producto17
Cliente187;Producto9
Cliente839;Producto4
Cliente863;Producto5
Cliente998;Producto11
Cliente815;Producto16
Cliente264;Producto16
Cliente861;Producto2
Cliente456;Producto20
Cliente257;Producto15
Cliente476;Producto18
Cliente48;Producto4
Cliente451;Producto1
Cliente8;Producto19
Cliente590;Producto7
Cliente919;Producto9
Cliente815;Producto3
Cliente291;Producto7
Cliente305;Producto15
Cliente938;Producto19
Cliente357;Producto16
Cliente289;Producto11
Cliente694;Producto5
Cliente729;Producto4
Cliente909;Producto16
Cliente553;Producto16
Cliente190;Producto1
Cliente505;Producto10
Cliente126;Producto13
Cliente516;Producto20
Cliente855;Producto16
Cliente518;Producto8
Cliente290;Producto15
Cliente198;Producto11
Cliente755;Producto11
Cliente586;Producto5
Cliente227;Producto16
Cliente300;Producto10
Cliente96;Producto19
Cliente354;Producto11
Cliente831;Producto8
Cliente368;Producto3
Cliente256;Producto16
Cliente120;Producto4
Cliente788;Producto13
Cliente994;Producto13
Cliente974;Producto15
Cliente391;Producto3
Cliente572;Producto13
Cliente205;Producto17
Cliente581;Producto8
Cliente59;Producto5
Cliente573;Producto11
Cliente726;Producto4
Cliente661;Producto7
Cliente222;Producto1
Cliente543;Producto9
Cliente633;Producto13
Cliente74;Producto12
Cliente638;Producto9
Cliente43;Producto20
Cliente506;Producto6
Cliente302;Producto16
Cliente514;Producto20
Cliente819;Producto17
Cliente901;Producto14
Cliente944;Producto6
Cliente775;Producto6
Cliente727;Producto16
Cliente952;Producto9
Cliente265;Producto11
Cliente426;Producto17
Cliente916;Producto8
Cliente820;Producto12
Cliente61;Producto4
Cliente359;Producto12
Cliente918;Producto19
Cliente629;Producto2
Cliente614;Producto9
Cliente675;Producto7
Cliente508;Producto17
Cliente655;Producto4
Cliente448;Producto5
Cliente7;Producto13
Cliente227;Producto18
Cliente258;Producto6
Cliente268;Producto12
Cliente171;Producto18
Cliente233;Producto16
Cliente125;Producto11
Cliente847;Producto14
Cliente531;Producto2
Cliente119;Producto17
Cliente559;Producto7
Cliente629;Producto6
Cliente224;Producto19
Cliente461;Producto17
Cliente728;Producto1
Cliente328;Producto2
Cliente256;Producto4
Cliente481;Producto17
Cliente731;Producto20
Cliente764;Producto18
Cliente642;Producto18
Cliente579;Producto1
Cliente762;Producto16
Cliente733;Producto11
Cliente672;Producto1
Cliente920;Producto8
Cliente457;Producto2
Cliente644;Producto11
Cliente596;Producto16
Cliente670;Producto6
Cliente836;Producto16
Cliente335;Producto6
Cliente123;Producto16
Cliente864;Producto8
Cliente747;Producto16
Cliente303;Producto13
Cliente660;Producto15
Cliente205;Producto8
Cliente193;Producto20
Cliente170;Producto16
Cliente52;Producto19
Cliente882;Producto3
Cliente794;Producto5
Cliente603;Producto18
Cliente321;Producto10
Cliente895;Producto15
Cliente736;Producto2
Cliente30;Producto12
Cliente118;Producto20
Cliente486;Producto8
Cliente596;Producto15
Cliente712;Producto10
Cliente622;Producto16
Cliente987;Producto11
Cliente853;Producto1
Cliente793;Producto12
Cliente703;Producto6
Cliente495;Producto7
Cliente599;Producto12
Cliente180;Producto14
Cliente66;Producto14
Cliente593;Producto12
Cliente226;Producto8
Cliente289;Producto1
Cliente838;Producto2
Cliente767;Producto15
Cliente763;Producto12
Cliente832;Producto12
Cliente43;Producto16
Cliente343;Producto13
Cliente948;Producto19
Cliente207;Producto2
Cliente66;Producto10
Cliente953;Producto2
Cliente967;Producto9
Cliente848;Producto14
Cliente551;Producto16
Cliente764;Producto3
Cliente1;Producto13
Cliente527;Producto16
Cliente69;Producto6
Cliente69;Producto10
Cliente782;Producto9
Cliente678;Producto10
Cliente49;Producto15
Cliente924;Producto3
Cliente157;Producto16
Cliente80;Producto9
Cliente570;Producto8
Cliente870;Producto1
Cliente255;Producto19
Cliente789;Producto17
Cliente754;Producto16
Cliente171;Producto17
Cliente720;Producto19
Cliente495;Producto18
Cliente94;Producto4
Cliente39;Producto3
Cliente177;Producto2
Cliente106;Producto17
Cliente408;Producto7
Cliente366;Producto4
Cliente366;Producto15
Cliente459;Producto9
Cliente761;Producto12
Cliente718;Producto11
Cliente225;Producto14
Cliente664;Producto20
Cliente922;Producto14
Cliente537;Producto9
Cliente269;Producto5
Cliente219;Producto5
Cliente872;Producto7
Cliente752;Producto14
Cliente336;Producto6
Cliente462;Producto2
Cliente485;Producto1
Cliente431;Producto6
Cliente138;Producto7
Cliente771;Producto17
Cliente42;Producto3
Cliente902;Producto8
Cliente287;Producto7
Cliente929;Producto15
Cliente424;Producto13
Cliente974;Producto1
Cliente614;Producto13
Cliente111;Producto6
Cliente567;Producto20
Cliente196;Producto20
Cliente159;Producto6
Cliente922;Producto7
Cliente138;Producto16
Cliente305;Producto20
Cliente104;Producto17
Cliente663;Producto18
Cliente232;Producto9
Cliente274;Producto5
Cliente252;Producto15
Cliente727;Producto13
Cliente602;Producto17
Cliente400;Producto11
Cliente850;Producto13
Cliente226;Producto3
Cliente99;Producto10
Cliente96;Producto11
Cliente929;Producto14
Cliente454;Producto6
Cliente960;Producto6
Cliente958;Producto19
Cliente114;Producto18
Cliente211;Producto12
Cliente82;Producto11
Cliente394;Producto12
Cliente169;Producto1
Cliente666;Producto2
Cliente340;Producto19
Cliente121;Producto16
Cliente700;Producto3
Cliente336;Producto2
Cliente932;Producto16
Cliente584;Producto6
Cliente247;Producto10
Cliente324;Producto17
Cliente478;Producto5
Cliente573;Producto10
Cliente678;Producto19
Cliente649;Producto7
Cliente682;Producto19
Cliente822;Producto12
Cliente390;Producto10
Cliente59;Producto14
Cliente834;Producto9
Cliente949;Producto15
Cliente215;Producto19
Cliente211;Producto14
Cliente732;Producto10
Cliente278;Producto18
Cliente695;Producto2
Cliente615;Producto8
Cliente949;Producto9
Cliente872;Producto20
Cliente519;Producto2
Cliente832;Producto11
Cliente957;Producto7
Cliente343;Producto11
Cliente157;Producto6
Cliente160;Producto5
Cliente989;Producto9
Cliente814;Producto3
Cliente82;Producto9
Cliente374;Producto14
Cliente942;Producto4
Cliente130;Producto11
Cliente915;Producto16
Cliente528;Producto12
Cliente729;Producto17
Cliente146;Producto15
Cliente825;Producto12
Cliente625;Producto10
Cliente991;Producto3
Cliente761;Producto13
Cliente260;Producto13
Cliente35;Producto1
Cliente476;Producto7
Cliente997;Producto15
Cliente517;Producto3
Cliente872;Producto5
Cliente788;Producto8
Cliente456;Producto5
Cliente626;Producto10
Cliente515;Producto5
Cliente337;Producto11
Cliente738;Producto1
Cliente397;Producto20
Cliente851;Producto5
Cliente328;Producto9
Cliente851;Producto1
Cliente749;Producto13
Cliente190;Producto2
Cliente375;Producto8
Cliente391;Producto7
Cliente551;Producto16
Cliente609;Producto5
Cliente789;Producto15
Cliente527;Producto11
Cliente114;Producto17
Cliente862;Producto6
Cliente520;Producto3
Cliente710;Producto13
Cliente850;Producto6
Cliente715;Producto18
Cliente123;Producto19
Cliente234;Producto6
Cliente526;Producto12
Cliente174;Producto18
Cliente662;Producto19
Cliente125;Producto19
Cliente497;Producto3
Cliente730;Producto13
Cliente419;Producto14
Cliente999;Producto2
Cliente454;Producto14
Cliente884;Producto5
Cliente832;Producto1
Cliente765;Producto12
Cliente138;Producto14
Cliente110;Producto13
Cliente399;Producto17
Cliente318;Producto18
Cliente274;Producto2
Cliente427;Producto5
Cliente216;Producto18
Cliente920;Producto18
Cliente470;Producto3
Cliente977;Producto8
Cliente697;Producto10
Cliente374;Producto19
Cliente818;Producto2
Cliente831;Producto17
Cliente237;Producto12
Cliente253;Producto10
Cliente996;Producto17
Cliente349;Producto5
Cliente646;Producto13
Cliente194;Producto1
Cliente403;Producto2
Cliente510;Producto2
Cliente779;Producto16
Cliente129;Producto19
Cliente684;Producto16
Cliente547;Producto8
Cliente397;Producto7
Cliente870;Producto3
Cliente197;Producto13
Cliente305;Producto8
Cliente838;Producto1
Cliente805;Producto11
Cliente641;Producto6
Cliente544;Producto8
Cliente183;Producto16
Cliente673;Producto17
Cliente722;Producto1
Cliente585;Producto19
Cliente328;Producto9
Cliente450;Producto10
Cliente100;Producto2
Cliente869;Producto7
Cliente351;Producto8
Cliente919;Producto17
Cliente498;Producto19
Cliente12;Producto4
Cliente238;Producto12
Cliente152;Producto15
Cliente735;Producto17
Cliente659;Producto13
Cliente811;Producto17
Cliente363;Producto11
Cliente896;Producto15
Cliente64;Producto2
Cliente17;Producto17
Cliente130;Producto7
Cliente258;Producto5
Cliente400;Producto4
Cliente105;Producto20
Cliente386;Producto15
Cliente34;Producto14
Cliente699;Producto1
Cliente971;Producto15
Cliente165;Producto12
Cliente289;Producto16
Cliente220;Producto15
Cliente902;Producto7
Cliente388;Producto8
Cliente908;Producto19
Cliente214;Producto17
Cliente423;Producto16
Cliente754;Producto17
Cliente68;Producto12
Cliente414;Producto11
Cliente94;Producto15
Cliente38;Producto10
Cliente575;Producto2
Cliente466;Producto20
Cliente343;Producto12
Cliente276;Producto17
Cliente956;Producto4
Cliente677;Producto11
Cliente772;Producto5
Cliente511;Producto8
Cliente102;Producto16
Cliente995;Producto8
Cliente512;Producto16
Cliente591;Producto16
Cliente536;Producto1
Cliente58;Producto4
Cliente931;Producto18
Cliente722;Producto11
Cliente940;Producto13
Cliente517;Producto14
Cliente73;Producto4
Cliente810;Producto17
Cliente837;Producto12
Cliente624;Producto18
Cliente285;Producto18
Cliente288;Producto8
Cliente348;Producto2
Cliente913;Producto19
Cliente371;Producto3
Cliente337;Producto10
Cliente214;Producto4
Cliente504;Producto17
Cliente160;Producto14
Cliente607;Producto20
Cliente209;Producto14
Cliente934;Producto10
Cliente465;Producto20
Cliente740;Producto16
Cliente548;Producto2
Cliente806;Producto17
Cliente63;Producto17
Cliente25;Producto9
Cliente574;Producto2
Cliente507;Producto3
Cliente899;Producto17
Cliente440;Producto9
Cliente434;Producto10
Cliente337;Producto10
Cliente38;Producto4
Cliente479;Producto14
Cliente312;Producto17
Cliente614;Producto8
Cliente712;Producto13
Cliente677;Producto11
Cliente836;Producto10
Cliente743;Producto7
Cliente899;Producto10
Cliente673;Producto14
Cliente570;Producto12
Cliente491;Producto4
Cliente941;Producto11
Cliente739;Producto18
Cliente689;Producto19
Cliente619;Producto5
Cliente144;Producto11
Cliente312;Producto11
Cliente330;Producto4
Cliente531;Producto18
Cliente785;Producto9
Cliente878;Producto10
Cliente279;Producto2
Cliente152;Producto14
Cliente402;Producto18
Cliente838;Producto14
Cliente419;Producto19
Cliente987;Producto8
Cliente456;Producto14
Cliente921;Producto17
Cliente912;Producto5
Cliente204;Producto19
Cliente535;Producto7
Cliente300;Producto1
Cliente603;Producto9
Cliente460;Producto20
Cliente327;Producto3
Cliente232;Producto3
Cliente309;Producto10
Cliente11;Producto16
Cliente899;Producto2
Cliente259;Producto11
Cliente895;Producto2
Cliente957;Producto3
Cliente68;Producto17
Cliente701;Producto18
Cliente639;Producto5
Cliente240;Producto6
Cliente441;Producto13
Cliente73;Producto20
Cliente643;Producto12
Cliente552;Producto8
Cliente479;Producto8
Cliente458;Producto19
Cliente783;Producto13
Cliente162;Producto4
Cliente398;Producto17
Cliente139;Producto7
Cliente543;Producto1
Cliente866;Producto13
Cliente279;Producto9
Cliente772;Producto5
Cliente4;Producto1
Cliente460;Producto9
Cliente445;Producto2
Cliente661;Producto2
Cliente262;Producto16
Cliente99;Producto6
Cliente732;Producto6
Cliente555;Producto13
Cliente665;Producto6
Cliente618;Producto4
Cliente989;Producto12
Cliente333;Producto10
Cliente705;Producto5
Cliente318;Producto1
Cliente396;Producto9
Cliente652;Producto9
Cliente138;Producto18
Cliente445;Producto14
Cliente289;Producto19
Cliente161;Producto14
Cliente678;Producto6
Cliente333;Producto18
Cliente800;Producto16
Cliente339;Producto7
Cliente405;Producto3
Cliente742;Producto17
Cliente634;Producto14
Cliente18;Producto2
Cliente955;Producto6
Cliente148;Producto5
Cliente867;Producto9
Cliente567;Producto16
Cliente364;Producto7
Cliente541;Producto9
Cliente362;Producto17
Cliente844;Producto18
Cliente559;Producto12
Cliente791;Producto4
Cliente402;Producto10
Cliente739;Producto15
Cliente45;Producto2
Cliente855;Producto17
Cliente360;Producto2
Cliente762;Producto15
Cliente235;Producto20
Cliente288;Producto4
Cliente447;Producto16
Cliente668;Producto18
Cliente928;Producto9
Cliente15;Producto14
Cliente602;Producto1
Cliente13;Producto19
Cliente965;Producto16
Cliente957;Producto1
Cliente740;Producto7
Cliente33;Producto19
Cliente340;Producto20
Cliente422;Producto5
Cliente783;Producto17
Cliente793;Producto4
Cliente634;Producto17
Cliente396;Producto19
Cliente638;Producto20
Cliente674;Producto7
Cliente974;Producto16
Cliente67;Producto12
Cliente279;Producto14
Cliente674;Producto8
Cliente115;Producto4
Cliente453;Producto20
Cliente331;Producto1
Cliente395;Producto15
Cliente896;Producto14
Cliente777;Producto18
Cliente48;Producto14
Cliente701;Producto4
Cliente636;Producto19
Cliente365;Producto6
Cliente545;Producto16
Cliente855;Producto1
Cliente782;Producto19
Cliente138;Producto1
Cliente699;Producto14
Cliente515;Producto19
Cliente357;Producto16
Cliente728;Producto13
Cliente724;Producto1
Cliente822;Producto20
Cliente425;Producto17
Cliente949;Producto14
Cliente46;Producto19
Cliente685;Producto16
Cliente134;Producto1
Cliente212;Producto1
Cliente771;Producto8
Cliente163;Producto16
Cliente677;Producto6
Cliente482;Producto6
Cliente819;Producto10
Cliente95;Producto15
Cliente974;Producto6
Cliente619;Producto5
Cliente767;Producto7
Cliente926;Producto17
Cliente753;Producto10
Cliente19;Producto15
Cliente698;Producto4
Cliente246;Producto14
Cliente858;Producto20
Cliente170;Producto9
Cliente118;Producto6
Cliente430;Producto15
Cliente744;Producto8
Cliente563;Producto16
Cliente692;Producto7
Cliente686;Producto10
Cliente622;Producto9
Cliente788;Producto14
Cliente802;Producto8
Cliente992;Producto14
Cliente668;Producto2
Cliente220;Producto18
Cliente92;Producto12
Cliente542;Producto13
Cliente321;Producto16
Cliente435;Producto17
Cliente281;Producto6
Cliente464;Producto9
Cliente501;Producto18
Cliente575;Producto11
Cliente586;Producto10
Cliente745;Producto18
Cliente151;Producto15
Cliente533;Producto11
Cliente204;Producto4
Cliente98;Producto3
Cliente513;Producto20
Cliente960;Producto9
Cliente684;Producto18
Cliente90;Producto4
Cliente417;Producto17
Cliente430;Producto5
Cliente670;Producto20
Cliente211;Producto8
Cliente521;Producto6
Cliente454;Producto20
Cliente15;Producto5
Cliente992;Producto3
Cliente722;Producto3
Cliente514;Producto3
Cliente683;Producto1
Cliente521;Producto2
Cliente929;Producto7
Cliente461;Producto9
Cliente343;Producto9
Cliente474;Producto12
Cliente680;Producto19
Cliente809;Producto5
Cliente989;Producto11
