;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Cliente246;Producto13;Producto6;Producto18;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente204;Producto16;Producto1;Producto12;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente499;Producto4;Producto6;Producto20;Producto18;Producto13;Producto2;Producto11;Producto3;Producto9;Producto14;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente651;Producto5;Producto1;Producto10;Producto19;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente969;Producto3;Producto14;Producto4;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente608;Producto13;Producto17;Producto7;Producto6;Producto9;Producto14;Producto12;Producto1;Producto11;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente809;Producto1;Producto9;Producto4;Producto14;Producto17;Producto2;Producto3;Producto12;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente987;Producto2;Producto1;Producto19;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente16;Producto19;Producto4;Producto5;Producto14;Producto18;Producto6;Producto7;Producto3;Producto2;Producto16;Producto11;Producto13;Producto1;Producto20;Producto8;Producto17;Producto9;Producto10;Producto12
Cliente591;Producto9;Producto4;Producto20;Producto11;Producto14;Producto1;Producto13;Producto19;Producto8;Producto18;Producto7;Producto3;Producto2;NA;NA;NA;NA;NA;NA
Cliente319;Producto3;Producto19;Producto11;Producto4;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente821;Producto17;Producto12;Producto20;Producto5;Producto10;Producto11;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente242;Producto2;Producto19;Producto11;Producto4;Producto6;Producto13;Producto1;Producto10;Producto18;Producto3;Producto5;Producto9;Producto14;Producto16;Producto20;Producto8;Producto7;Producto12;Producto15
Cliente524;Producto2;Producto20;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente31;Producto6;Producto10;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente732;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente234;Producto12;Producto2;Producto10;Producto16;Producto5;Producto19;Producto15;Producto3;Producto18;Producto4;Producto7;Producto17;Producto9;Producto13;NA;NA;NA;NA;NA
Cliente697;Producto16;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente25;Producto4;Producto1;Producto10;Producto14;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente488;Producto8;Producto19;Producto1;Producto17;Producto6;Producto15;Producto4;Producto3;Producto10;Producto11;Producto12;Producto18;Producto14;Producto2;Producto20;Producto9;Producto13;Producto7;Producto16
Cliente85;Producto2;Producto18;Producto12;Producto7;Producto6;Producto4;Producto16;Producto10;Producto15;Producto1;Producto17;Producto8;Producto13;Producto19;Producto9;Producto11;Producto5;Producto20;Producto3
Cliente87;Producto6;Producto4;Producto19;Producto18;Producto17;Producto20;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente837;Producto1;Producto10;Producto20;Producto9;Producto14;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente116;Producto13;Producto6;Producto1;Producto19;Producto17;Producto11;Producto14;Producto5;Producto15;Producto18;Producto12;Producto20;Producto2;NA;NA;NA;NA;NA;NA
Cliente498;Producto12;Producto11;Producto17;Producto2;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente324;Producto18;Producto1;Producto4;Producto9;Producto14;Producto6;Producto20;Producto19;Producto13;Producto10;Producto11;Producto3;Producto8;Producto12;Producto16;Producto15;NA;NA;NA
Cliente735;Producto9;Producto20;Producto18;Producto1;Producto14;Producto11;Producto2;Producto16;Producto10;Producto13;Producto19;Producto8;Producto3;NA;NA;NA;NA;NA;NA
Cliente2;Producto17;Producto2;Producto1;Producto18;Producto6;Producto5;Producto15;Producto16;Producto10;Producto8;Producto7;Producto14;Producto4;Producto12;Producto9;Producto11;Producto13;Producto20;Producto3
Cliente868;Producto17;Producto8;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente146;Producto3;Producto4;Producto5;Producto18;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente52;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente283;Producto16;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente898;Producto19;Producto9;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente741;Producto7;Producto19;Producto6;Producto16;Producto3;Producto8;Producto18;Producto13;Producto4;Producto10;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente574;Producto20;Producto5;Producto13;Producto1;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente859;Producto18;Producto6;Producto12;Producto13;Producto2;Producto1;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente183;Producto2;Producto12;Producto18;Producto11;Producto15;Producto4;Producto10;Producto19;Producto6;Producto13;Producto8;Producto17;Producto20;Producto7;Producto5;NA;NA;NA;NA
Cliente963;Producto20;Producto7;Producto15;Producto16;Producto4;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente59;Producto10;Producto6;Producto9;Producto17;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente517;Producto10;Producto11;Producto6;Producto1;Producto2;Producto8;Producto7;Producto4;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente652;Producto6;Producto4;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente959;Producto6;Producto9;Producto17;Producto1;Producto5;Producto12;Producto18;Producto11;Producto13;Producto16;Producto8;Producto7;Producto15;NA;NA;NA;NA;NA;NA
Cliente477;Producto18;Producto5;Producto14;Producto1;Producto10;Producto15;Producto12;Producto6;Producto19;Producto11;Producto2;Producto17;Producto3;NA;NA;NA;NA;NA;NA
Cliente303;Producto9;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente497;Producto4;Producto11;Producto20;Producto7;Producto6;Producto10;Producto8;Producto1;Producto12;Producto14;Producto9;Producto5;Producto16;NA;NA;NA;NA;NA;NA
Cliente241;Producto13;Producto14;Producto10;Producto2;Producto12;Producto7;Producto11;Producto19;Producto3;Producto15;Producto20;NA;NA;NA;NA;NA;NA;NA;NA
Cliente439;Producto11;Producto18;Producto17;Producto14;Producto20;Producto9;Producto4;Producto12;Producto5;Producto1;Producto10;Producto19;Producto8;Producto6;Producto3;Producto13;NA;NA;NA
Cliente561;Producto2;Producto1;Producto11;Producto13;Producto3;Producto6;Producto18;Producto10;Producto19;Producto20;Producto9;Producto16;Producto4;Producto8;Producto5;Producto7;Producto14;Producto15;NA
Cliente566;Producto11;Producto6;Producto20;Producto13;Producto9;Producto1;Producto5;Producto10;Producto14;Producto15;Producto12;Producto16;Producto3;Producto8;NA;NA;NA;NA;NA
Cliente217;Producto14;Producto18;Producto1;Producto4;Producto10;Producto11;Producto20;Producto9;Producto17;Producto2;Producto19;Producto5;Producto16;Producto6;Producto8;Producto7;Producto3;Producto15;NA
Cliente587;Producto15;Producto2;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente637;Producto1;Producto19;Producto8;Producto7;Producto16;Producto20;Producto5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente412;Producto10;Producto11;Producto20;Producto18;Producto2;Producto5;Producto4;Producto9;Producto17;Producto6;Producto7;Producto1;Producto8;Producto16;Producto3;Producto19;NA;NA;NA
Cliente347;Producto5;Producto20;Producto6;Producto16;Producto9;Producto2;Producto12;Producto1;Producto7;Producto14;Producto17;Producto4;Producto13;Producto19;Producto11;Producto18;Producto15;Producto3;NA
Cliente614;Producto16;Producto14;Producto17;Producto2;Producto19;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente423;Producto7;Producto17;Producto14;Producto11;Producto5;Producto8;Producto1;Producto9;Producto12;Producto18;Producto19;Producto20;Producto4;Producto15;Producto10;Producto13;Producto6;Producto3;NA
Cliente357;Producto1;Producto7;Producto18;Producto11;Producto6;Producto14;Producto2;Producto10;Producto8;Producto15;Producto17;Producto13;Producto3;Producto9;Producto12;NA;NA;NA;NA
Cliente372;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente411;Producto6;Producto14;Producto10;Producto12;Producto4;Producto18;Producto20;Producto5;Producto1;Producto9;Producto15;Producto7;NA;NA;NA;NA;NA;NA;NA
Cliente870;Producto6;Producto4;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente799;Producto2;Producto1;Producto5;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente906;Producto18;Producto1;Producto4;Producto9;Producto14;Producto6;Producto20;Producto19;Producto13;Producto10;Producto11;Producto3;Producto8;Producto12;Producto16;Producto15;NA;NA;NA
Cliente448;Producto6;Producto4;Producto1;Producto9;Producto2;Producto3;Producto10;Producto13;Producto11;Producto15;Producto8;Producto18;Producto19;NA;NA;NA;NA;NA;NA
Cliente373;Producto2;Producto7;Producto3;Producto6;Producto5;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente951;Producto4;Producto17;Producto5;Producto6;Producto10;Producto14;Producto13;Producto11;Producto8;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente360;Producto1;Producto19;Producto7;Producto17;Producto9;Producto14;Producto15;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente519;Producto17;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente995;Producto18;Producto2;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente461;Producto3;Producto14;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente397;Producto16;Producto10;Producto18;Producto2;Producto11;Producto6;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente36;Producto16;Producto9;Producto6;Producto13;Producto14;Producto1;Producto2;Producto4;Producto8;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente131;Producto16;Producto9;Producto12;Producto3;Producto11;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente685;Producto6;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente212;Producto6;Producto10;Producto19;Producto14;Producto4;Producto8;Producto12;Producto20;Producto9;Producto17;Producto2;Producto3;Producto15;Producto7;NA;NA;NA;NA;NA
Cliente45;Producto9;Producto17;Producto19;Producto15;Producto12;Producto13;Producto5;Producto1;Producto10;Producto14;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente315;Producto20;Producto16;Producto2;Producto7;Producto9;Producto18;Producto11;Producto17;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente989;Producto18;Producto4;Producto1;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente990;Producto2;Producto3;Producto1;Producto11;Producto16;Producto18;Producto6;Producto5;Producto7;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente118;Producto18;Producto4;Producto9;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente99;Producto16;Producto12;Producto1;Producto2;Producto14;Producto9;Producto3;Producto4;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente198;Producto15;Producto17;Producto13;Producto18;Producto6;Producto1;Producto8;Producto16;Producto14;Producto2;Producto10;Producto5;Producto3;Producto12;Producto20;Producto19;Producto7;NA;NA
Cliente415;Producto17;Producto14;Producto20;Producto9;Producto8;Producto15;Producto18;Producto1;Producto2;Producto13;Producto16;Producto19;Producto3;Producto10;Producto12;NA;NA;NA;NA
Cliente546;Producto3;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente172;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente775;Producto14;Producto2;Producto10;Producto5;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente260;Producto4;Producto5;Producto8;Producto20;Producto17;Producto3;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente222;Producto2;Producto6;Producto4;Producto10;Producto17;Producto18;Producto9;Producto15;Producto20;Producto19;Producto12;Producto8;Producto11;Producto13;Producto16;NA;NA;NA;NA
Cliente548;Producto17;Producto13;Producto3;Producto16;Producto6;Producto14;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente76;Producto8;Producto16;Producto6;Producto7;Producto5;Producto20;Producto11;Producto13;Producto19;Producto3;Producto10;Producto4;Producto2;NA;NA;NA;NA;NA;NA
Cliente244;Producto19;Producto18;Producto17;Producto10;Producto8;Producto1;Producto2;Producto9;Producto11;Producto14;Producto13;Producto5;Producto6;Producto15;Producto20;NA;NA;NA;NA
Cliente822;Producto18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente290;Producto17;Producto14;Producto3;Producto6;Producto5;Producto11;Producto20;Producto2;Producto1;Producto12;Producto9;Producto10;Producto13;NA;NA;NA;NA;NA;NA
Cliente887;Producto10;Producto2;Producto9;Producto6;Producto13;Producto11;Producto16;Producto3;Producto4;Producto20;Producto7;Producto1;Producto8;Producto12;Producto19;Producto15;Producto5;NA;NA
Cliente931;Producto1;Producto20;Producto12;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente835;Producto5;Producto8;Producto16;Producto17;Producto12;Producto14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente877;Producto10;Producto4;Producto14;Producto18;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente568;Producto1;Producto2;Producto5;Producto13;Producto20;Producto8;Producto10;Producto6;Producto4;Producto16;Producto7;Producto11;Producto18;Producto3;Producto15;Producto14;NA;NA;NA
Cliente456;Producto9;Producto17;Producto6;Producto4;Producto12;Producto8;Producto18;Producto16;Producto7;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente258;Producto4;Producto9;Producto7;Producto20;Producto17;Producto8;Producto10;Producto1;Producto14;Producto18;Producto15;Producto3;Producto12;Producto13;NA;NA;NA;NA;NA
Cliente867;Producto17;Producto4;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
